Year,Index
2016-02-24,2005
2016-02-25,2006
2016-02-28,2008
2016-02-28,2009
2016-02-29,2010
2016-02-29,2012
2016-03-01,2013
2016-03-02,2014
2016-03-03,2015
2016-03-07,2017
2016-03-07,2018
2016-03-08,2020
2016-03-09,2023
2016-03-10,2024
2016-03-10,2025
2016-03-13,2026
2016-03-14,2027
2016-03-15,2029
2016-03-15,2030
2016-03-15,2031
2016-03-15,2032
2016-03-16,2034
2016-03-16,2035
2016-03-18,2037
2016-03-21,2038
2016-03-23,2039
2016-03-24,2041
2016-03-26,2043
2016-03-28,2044
2016-03-29,2045
2016-03-30,2046
2016-03-31,2047
2016-04-04,2048
2016-04-04,2049
2016-04-05,2050
2016-04-05,2051
2016-04-07,2053
2016-04-12,2054
2016-04-13,2057
2016-04-14,2059
2016-04-17,2061
2016-04-17,2063
2016-04-17,2064
2016-04-19,2067
2016-04-19,2068
2016-04-21,2069
2016-04-23,2070
2016-04-27,2071
2016-04-28,2073
2016-04-30,2075
2016-05-03,2076
2016-05-03,2077
2016-05-05,2078
2016-05-07,2079
2016-05-09,2080
2016-05-11,2083
2016-05-12,2084
2016-05-17,2087
2016-05-17,2088
2016-05-18,2089
2016-05-19,2090
2016-05-19,2091
2016-05-20,2092
2016-05-20,2093
2016-05-20,2094
2016-05-22,2095
2016-05-24,2096
2016-05-24,2097
2016-05-26,2098
2016-05-26,2099
2016-05-28,2100
2016-05-31,2101
2016-06-03,2103
2016-06-06,2105
2016-06-07,2106
2016-06-10,2109
2016-06-13,2110
2016-06-14,2112
2016-06-14,2113
2016-06-15,2114
2016-06-17,2115
2016-06-19,2116
2016-06-21,2117
2016-06-21,2118
2016-06-22,2119
2016-06-24,2120
2016-06-26,2122
2016-06-26,2123
2016-06-30,2127
2016-07-03,2128
2016-07-05,2129
2016-07-08,2131
2016-07-10,2132
2016-07-17,2135
2016-07-18,2137
2016-07-18,2139
2016-07-20,2142
2016-07-21,2143
2016-07-21,2144
2016-07-22,2145
2016-07-24,2146
2016-07-25,2148
2016-07-27,2150
2016-08-01,2152
2016-08-02,2153
2016-08-02,2155
2016-08-04,2158
2016-08-04,2159
2016-08-04,2160
2016-08-09,2162
2016-08-10,2165
2016-08-10,2166
2016-08-15,2170
2016-08-15,2171
2016-08-18,2175
2016-08-19,2178
2016-08-21,2182
2016-08-25,2184
2016-08-26,2185
2016-08-27,2186
2016-08-27,2187
2016-08-31,2190
2016-08-31,2191
2016-09-02,2192
2016-09-02,2193
2016-09-03,2194
2016-09-05,2195
2016-09-08,2196
2016-09-08,2198
2016-09-08,2199
2016-09-09,2200
2016-09-10,2201
2016-09-12,2203
2016-09-13,2204
2016-09-13,2205
2016-09-16,2209
2016-09-19,2211
2016-09-20,2212
2016-09-20,2215
2016-09-22,2219
2016-09-22,2222
2016-09-28,2228
2016-09-28,2229
2016-09-28,2230
2016-09-29,2231
2016-09-29,2233
2016-09-29,2236
2016-09-30,2237
2016-09-30,2241
2016-10-01,2242
2016-10-02,2244
2016-10-03,2245
2016-10-03,2249
2016-10-05,2256
2016-10-05,2261
2016-10-06,2263
2016-10-07,2265
2016-10-07,2266
2016-10-07,2268
2016-10-08,2269
2016-10-10,2271
2016-10-11,2274
2016-10-11,2276
2016-10-12,2278
2016-10-12,2280
2016-10-13,2284
2016-10-14,2286
2016-10-17,2288
2016-10-17,2289
2016-10-18,2295
2016-10-21,2299
2016-10-23,2300
2016-10-25,2306
2016-10-25,2307
2016-10-25,2308
2016-10-25,2310
2016-10-26,2313
2016-10-26,2314
2016-10-26,2315
2016-10-26,2317
2016-10-28,2319
2016-10-30,2320
2016-10-31,2321
2016-10-31,2322
2016-11-01,2324
2016-11-02,2325
2016-11-02,2326
2016-11-02,2327
2016-11-03,2328
2016-11-03,2329
2016-11-04,2330
2016-11-10,2332
2016-11-10,2333
2016-11-11,2334
2016-11-16,2336
2016-11-18,2338
2016-11-18,2339
2016-11-20,2341
2016-11-20,2342
